model,model_key,project,repo,id_build,run_url,actual_duration,prediction,baseline_lag1,baseline_mean7,abs_error_model,abs_error_lag1,abs_error_mean7,case_type
GBR,gradient_boosting,jod,Opetushallitus/jod-yksilo-ui,16622406552,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/16622406552,184.0,240.77131398617843,174.0,180.85714285714286,56.77131398617843,10.0,3.142857142857139,best_model
GBR,gradient_boosting,jod,Opetushallitus/jod-yksilo-ui,16828534619,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/16828534619,1206238.0,70671.33138187745,168.0,171.71428571428572,1135566.6686181226,1206070.0,1206066.2857142857,worst_model
GBR,gradient_boosting,jod,Opetushallitus/jod-yksilo-ui,17095787568,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/17095787568,170822.0,75317.07492631409,183.0,178.0,95504.92507368591,170639.0,170644.0,worst_model
GBR,gradient_boosting,jod,Opetushallitus/jod-yksilo-ui,16521523561,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/16521523561,173.0,7424.583384800678,176.0,186.0,7251.583384800678,3.0,13.0,worst_model
GBR,gradient_boosting,m2os,m2Giles/m2os,17252591712,https://github.com/m2Giles/m2os/actions/runs/17252591712,2207.0,2337.766131783821,1928.0,2085.285714285714,130.76613178382104,279.0,121.71428571428578,best_model
GBR,gradient_boosting,m2os,m2Giles/m2os,17196648601,https://github.com/m2Giles/m2os/actions/runs/17196648601,2064.0,2240.335161519326,2074.0,1948.857142857143,176.335161519326,10.0,115.14285714285711,best_model
GBR,gradient_boosting,m2os,m2Giles/m2os,16396285024,https://github.com/m2Giles/m2os/actions/runs/16396285024,1998.0,2205.59384658855,3145.0,2869.285714285714,207.59384658855015,1147.0,871.2857142857142,best_model
GBR,gradient_boosting,m2os,m2Giles/m2os,16900027590,https://github.com/m2Giles/m2os/actions/runs/16900027590,8283.0,4713.880376804708,5837.0,2975.0,3569.1196231952918,2446.0,5308.0,worst_model
GBR,gradient_boosting,m2os,m2Giles/m2os,16901402234,https://github.com/m2Giles/m2os/actions/runs/16901402234,8500.0,5242.18357475944,8283.0,3884.714285714286,3257.8164252405604,217.0,4615.285714285714,worst_model
GBR,gradient_boosting,m2os,m2Giles/m2os,17112927257,https://github.com/m2Giles/m2os/actions/runs/17112927257,7434.0,4819.854015400533,8500.0,4797.571428571428,2614.145984599467,1066.0,2636.4285714285716,worst_model
GBR,gradient_boosting,orange,Orange-OpenSource/ouds-android,16525274679,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16525274679,973.0,973.1710958391636,853.0,945.7142857142857,0.1710958391636268,120.0,27.285714285714334,best_model
GBR,gradient_boosting,orange,Orange-OpenSource/ouds-android,16470366278,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16470366278,924.0,925.274296355674,876.0,1006.5714285714286,1.2742963556739824,48.0,82.57142857142856,best_model
GBR,gradient_boosting,orange,Orange-OpenSource/ouds-android,16810174125,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16810174125,899.0,894.8108909368616,1028.0,973.0,4.189109063138403,129.0,74.0,best_model
GBR,gradient_boosting,orange,Orange-OpenSource/ouds-android,16744886252,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16744886252,1493.0,839.2225353402348,826.0,1007.7142857142857,653.7774646597652,667.0,485.28571428571433,worst_model
GBR,gradient_boosting,orange,Orange-OpenSource/ouds-android,16578582926,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16578582926,1374.0,956.5766063926372,1039.0,982.0,417.42339360736275,335.0,392.0,worst_model
GBR,gradient_boosting,orange,Orange-OpenSource/ouds-android,17276340744,https://github.com/Orange-OpenSource/ouds-android/actions/runs/17276340744,1223.0,848.4715008729893,1122.0,927.5714285714286,374.5284991270107,101.0,295.42857142857144,worst_model
GBR,gradient_boosting,radare2,radareorg/radare2,16201897179,https://github.com/radareorg/radare2/actions/runs/16201897179,1670.0,1678.8695879541358,4363.0,4147.428571428572,8.869587954135795,2693.0,2477.4285714285716,best_model
GBR,gradient_boosting,radare2,radareorg/radare2,16597205648,https://github.com/radareorg/radare2/actions/runs/16597205648,993.0,973.9838318409494,2145.0,1814.142857142857,19.016168159050608,1152.0,821.1428571428571,best_model
GBR,gradient_boosting,radare2,radareorg/radare2,16703653690,https://github.com/radareorg/radare2/actions/runs/16703653690,2521.0,2489.0688623752617,2308.0,2474.714285714286,31.931137624738312,213.0,46.28571428571422,best_model
GBR,gradient_boosting,radare2,radareorg/radare2,16177243785,https://github.com/radareorg/radare2/actions/runs/16177243785,5152.0,1255.4305066105612,5698.0,3607.714285714286,3896.569493389439,546.0,1544.2857142857142,worst_model
GBR,gradient_boosting,radare2,radareorg/radare2,16182201971,https://github.com/radareorg/radare2/actions/runs/16182201971,5474.0,1600.6040313797214,2710.0,4069.1428571428573,3873.395968620279,2764.0,1404.8571428571427,worst_model
GBR,gradient_boosting,radare2,radareorg/radare2,17243347833,https://github.com/radareorg/radare2/actions/runs/17243347833,5935.0,2249.9033175184472,5366.0,2616.285714285714,3685.0966824815528,569.0,3318.714285714286,worst_model
GBR,gradient_boosting,rustlang,rust-lang/crates.io,16368175302,https://github.com/rust-lang/crates.io/actions/runs/16368175302,517.0,517.36238075686,515.0,498.0,0.3623807568600341,2.0,19.0,best_model
GBR,gradient_boosting,rustlang,rust-lang/crates.io,16076525470,https://github.com/rust-lang/crates.io/actions/runs/16076525470,514.0,514.499726975432,330.0,470.57142857142856,0.49972697543205413,184.0,43.428571428571445,best_model
GBR,gradient_boosting,rustlang,rust-lang/crates.io,16089238268,https://github.com/rust-lang/crates.io/actions/runs/16089238268,495.0,495.6868012920582,493.0,507.0,0.6868012920581918,2.0,12.0,best_model
GBR,gradient_boosting,rustlang,rust-lang/crates.io,15971371203,https://github.com/rust-lang/crates.io/actions/runs/15971371203,907.0,433.6644516983354,334.0,448.7142857142857,473.3355483016646,573.0,458.2857142857143,worst_model
GBR,gradient_boosting,rustlang,rust-lang/crates.io,16117493586,https://github.com/rust-lang/crates.io/actions/runs/16117493586,323.0,619.4736849385721,535.0,499.14285714285717,296.4736849385721,212.0,176.14285714285717,worst_model
GBR,gradient_boosting,rustlang,rust-lang/crates.io,16089747756,https://github.com/rust-lang/crates.io/actions/runs/16089747756,330.0,621.7868519283336,453.0,495.42857142857144,291.7868519283336,123.0,165.42857142857144,worst_model
LGBM,lightgbm,bmad,bmad-sim/bmad-ecosystem,17060814448,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17060814448,1134.0,1131.4502489593872,1160.0,1144.857142857143,2.5497510406128185,26.0,10.85714285714289,best_model
LGBM,lightgbm,bmad,bmad-sim/bmad-ecosystem,16865398570,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16865398570,1140.0,1137.295809391072,1128.0,1152.2857142857142,2.704190608928002,12.0,12.28571428571422,best_model
LGBM,lightgbm,bmad,bmad-sim/bmad-ecosystem,17246502873,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17246502873,1138.0,1134.7125161231752,1145.0,1147.857142857143,3.2874838768248082,7.0,9.85714285714289,best_model
LGBM,lightgbm,bmad,bmad-sim/bmad-ecosystem,17220289767,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17220289767,1235.0,1098.5998485362024,1124.0,1137.0,136.40015146379756,111.0,98.0,worst_model
LGBM,lightgbm,bmad,bmad-sim/bmad-ecosystem,17076603505,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17076603505,1245.0,1140.1208955684435,1151.0,1160.2857142857142,104.87910443155647,94.0,84.71428571428578,worst_model
LGBM,lightgbm,bmad,bmad-sim/bmad-ecosystem,16870876036,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16870876036,1257.0,1152.2275986176587,1149.0,1141.142857142857,104.77240138234129,108.0,115.85714285714289,worst_model
LGBM,lightgbm,bruce,pr3y/Bruce,15637723706,https://github.com/pr3y/Bruce/actions/runs/15637723706,318.0,318.522487409488,398.0,367.2857142857143,0.5224874094880079,80.0,49.28571428571428,best_model
LGBM,lightgbm,bruce,pr3y/Bruce,15662772326,https://github.com/pr3y/Bruce/actions/runs/15662772326,306.0,305.18245289329997,319.0,335.0,0.817547106700033,13.0,29.0,best_model
LGBM,lightgbm,bruce,pr3y/Bruce,16282605847,https://github.com/pr3y/Bruce/actions/runs/16282605847,310.0,308.93804471605733,302.0,373.0,1.061955283942666,8.0,63.0,best_model
LGBM,lightgbm,bruce,pr3y/Bruce,17174086606,https://github.com/pr3y/Bruce/actions/runs/17174086606,431.0,302.31947966961366,424.0,410.14285714285717,128.68052033038634,7.0,20.857142857142833,worst_model
LGBM,lightgbm,bruce,pr3y/Bruce,16968068405,https://github.com/pr3y/Bruce/actions/runs/16968068405,426.0,311.4821464088607,438.0,355.7142857142857,114.51785359113933,12.0,70.28571428571428,worst_model
